"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_SKU";"SPICEPREFIX";"VALUE";
"1";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TS-015A";"TS-015A";"RESET";"TS-15A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0R";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"16";"104";"C-EUC0603K";"C0603K";"C3, C4, C22, C31, C32, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"12";"105";"C-EUC0603K";"C0603K";"C2, C9, C10, C13, C15, C16, C19, C20, C23, C24, C25, C33";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"106";"C-EUC0603K";"C0603K";"C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"10R";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"9";"10k";"R-EU_R0603";"R0603";"R3, R6, R12, R13, R19, R21, R25, R26, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"10k";"RES-0603";"R0603";"R24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
